,ex,symbol,price,+2% depth,-2% depth,volume,volume%,confidence,liquidity,updated,base,quote
52,Gate.io,ADA/USDT,$2.30,"$800,027.47","$923,911.65","$64,765,152",1.96%,High,391,Recently,ADA,USDT
53,KuCoin,ADA/USDT,$2.30,"$2,533,413.80","$1,709,555.31","$61,630,529",1.87%,High,559,Recently,ADA,USDT
54,Kraken,ADA/USD,$2.30,"$2,395,283.23","$3,317,171.71","$36,112,523",1.09%,High,650,Recently,ADA,USD
55,Binance,ADA/EUR,$2.27,"$720,424.14","$567,149.94","$31,509,004",0.95%,High,611,Recently,ADA,EUR
56,Coinbase Exchange,ADA/BTC,$2.29,"$445,230.69","$547,814.82","$24,905,914",0.75%,High,394,Recently,ADA,BTC
57,Binance,ADA/TRY,$2.29,"$261,518.64","$266,267.94","$22,858,707",0.69%,High,656,Recently,ADA,TRY
58,Kraken,ADA/EUR,$2.30,"$1,395,610.36","$1,279,007.23","$22,670,110",0.69%,High,632,Recently,ADA,EUR
59,Coinbase Exchange,ADA/EUR,$2.29,"$504,546.35","$682,815.78","$21,694,152",0.66%,High,356,Recently,ADA,EUR
60,Binance,SHIB/USDT,$1.00,"$783,575.72","$910,094.68","$6,110,680,673",6.58%,High,874,Recently,SHIB,USDT
61,Binance,BTC/USDT,$1.00,"$33,356,054.70","$22,191,694.81","$3,086,793,068",3.32%,High,892,Recently,BTC,USDT
62,Binance,ETH/USDT,$1.00,"$20,845,383.77","$10,308,998.30","$1,759,607,382",1.89%,High,860,Recently,ETH,USDT
63,Huobi Global,SHIB/USDT,$1.00,"$335,595.19","$511,395.63","$1,486,774,602",1.60%,Low,274,Recently,SHIB,USDT
64,Binance,BUSD/USDT,$1.00,"$56,408,764.33","$59,194,305.24","$1,198,213,384",1.29%,High,960,Recently,BUSD,USDT
65,Binance,BTCST/USDT,$1.00,"$178,456.37","$297,970.03","$1,093,044,827",1.18%,High,800,Recently,BTCST,USDT
66,Binance,FTM/USDT,$1.00,"$1,115,692.52","$1,332,985.84","$1,087,603,813",1.17%,High,692,Recently,FTM,USDT
67,Huobi Global,BTC/USDT,$1.00,"$13,951,076.67","$12,869,701.74","$723,912,497",0.78%,Low,939,Recently,BTC,USDT
68,Binance,DOT/USDT,$1.00,"$2,108,189.13","$2,053,608.18","$696,906,036",0.75%,High,525,Recently,DOT,USDT
69,Huobi Global,ETH/USDT,$1.00,"$6,788,393.98","$7,592,518.36","$680,514,210",0.73%,Low,877,Recently,ETH,USDT
70,Binance,ADA/USDT,$1.00,"$3,730,993.68","$4,546,081.70","$589,618,475",0.63%,High,893,Recently,ADA,USDT
71,KuCoin,BTC/USDT,$1.00,"$9,798,968.95","$10,802,601.92","$588,729,159",0.63%,High,900,Recently,BTC,USDT
72,Binance,XRP/USDT,$1.07,"$4,202,205.01","$3,796,986.21","$450,194,634",13.94%,High,763,Recently,XRP,USDT
73,Huobi Global,XRP/USDT,$1.07,"$2,747,179.83","$1,278,106.34","$117,153,899",3.63%,Low,621,Recently,XRP,USDT
74,Bithumb,XRP/KRW,$1.10,"$1,585,585.75","$1,710,575.24","$82,697,977",2.56%,High,285,Recently,XRP,KRW
75,KuCoin,XRP/USDT,$1.07,"$1,994,537.91","$1,639,920.24","$68,999,637",2.14%,High,714,Recently,XRP,USDT
