,ex,symbol,price,+2% depth,-2% depth,volume,volume%,confidence,liquidity,updated,base,quote
76,Gate.io,XRP/USDT,$1.07,"$687,228.41","$882,520.98","$61,235,020",1.90%,High,534,Recently,XRP,USDT
77,Binance,XRP/BUSD,$1.08,"$782,105.75","$886,628.54","$46,460,111",1.44%,High,511,Recently,XRP,BUSD
78,Binance,XRP/BTC,$1.07,"$589,073.65","$993,907.24","$43,093,416",1.33%,High,614,Recently,XRP,BTC
79,FTX,XRP/USD,$1.08,"$3,647,320.21","$7,352,858.71","$39,714,176",1.23%,High,743,Recently,XRP,USD
80,Bitstamp,XRP/USD,$1.07,"$1,986,408.73","$2,043,011.06","$20,585,984",0.64%,High,351,Recently,XRP,USD
81,Bitstamp,XRP/EUR,$1.07,"$799,756.13","$707,599.97","$10,923,189",0.34%,High,305,Recently,XRP,EUR
82,Kraken,XRP/EUR,$1.07,"$1,383,249.95","$1,797,224.19","$9,928,767",0.31%,High,485,Recently,XRP,EUR
83,Binance,XRP/TRY,$1.07,"$254,758.26","$193,412.06","$9,896,935",0.31%,High,840,Recently,XRP,TRY
84,Bitfinex,XRP/USD,$1.07,"$1,467,711.73","$2,128,561.25","$9,852,696",0.31%,High,427,Recently,XRP,USD
85,Huobi Global,XRP/BTC,$1.07,"$294,068.38","$337,801.76","$8,428,167",0.26%,High,395,Recently,XRP,BTC
86,Binance,SOL/USDT,$157.44,"$4,323,442.43","$2,387,636.58","$525,883,948",19.80%,High,622,Recently,SOL,USDT
87,Coinbase Exchange,SOL/USD,$157.66,"$2,216,139.61","$2,166,895.31","$277,461,684",10.45%,High,575,Recently,SOL,USD
88,FTX,SOL/USD,$157.60,"$2,344,805.54","$1,978,666.58","$150,728,766",5.68%,Moderate,493,Recently,SOL,USD
89,Binance,SOL/BUSD,$157.40,"$1,529,574.68","$1,157,004.68","$133,099,983",5.01%,High,760,Recently,SOL,BUSD
90,Binance,SOL/BTC,$157.38,"$545,179.21","$853,931.50","$111,368,368",4.19%,High,552,Recently,SOL,BTC
91,Huobi Global,SOL/USDT,$157.58,"$678,688.70","$1,458,035.45","$64,666,533",2.43%,Low,469,Recently,SOL,USDT
92,Binance.US,SOL/USD,$157.53,"$888,588.33","$1,483,710.89","$64,369,217",2.42%,High,782,Recently,SOL,USD
93,FTX,SOL/USDT,$157.59,"$1,348,330.21","$1,123,542.60","$38,916,628",1.47%,High,430,Recently,SOL,USDT
94,KuCoin,SOL/USDT,$157.56,"$1,461,641.60","$927,677.55","$31,979,160",1.20%,High,418,Recently,SOL,USDT
95,Binance,SOL/TRY,$156.89,"$369,059.07","$113,005.25","$29,678,544",1.12%,High,765,Recently,SOL,TRY
96,Bitfinex,SOL/USD,$157.64,"$1,623,062.32","$3,111,314.72","$27,624,288",1.04%,High,335,Recently,SOL,USD
97,Coinbase Exchange,SOL/BTC,$157.19,"$631,809.44","$778,845.66","$21,912,921",0.83%,High,350,Recently,SOL,BTC
98,Coinbase Exchange,SOL/EUR,$157.18,"$554,834.18","$545,682.03","$21,053,671",0.79%,High,372,Recently,SOL,EUR
99,FTX US,SOL/USD,$157.04,"$1,317,730.52","$1,244,013.67","$16,423,727",0.62%,Moderate,223,Recently,SOL,USD
100,Gate.io,SOL/USDT,$157.36,"$1,031,442.68","$969,241.32","$15,096,427",0.57%,High,346,Recently,SOL,USDT
101,Binance,DOT/USDT,$34.55,"$2,986,592.29","$1,742,932.41","$702,466,645",25.62%,High,842,Recently,DOT,USDT
102,Huobi Global,DOT/USDT,$34.54,"$1,748,038.25","$1,308,780.93","$198,078,721",7.22%,Low,570,Recently,DOT,USDT
103,Coinbase Exchange,DOT/USD,$34.65,"$1,817,750.16","$1,501,383.80","$115,483,690",4.21%,High,499,Recently,DOT,USD
104,Binance,DOT/BTC,$34.54,"$482,656.15","$433,445.62","$110,191,228",4.02%,High,801,Recently,DOT,BTC
105,Binance,DOT/BUSD,$34.55,"$778,122.28","$658,418.44","$80,508,484",2.94%,High,846,Recently,DOT,BUSD
106,Gate.io,DOT/USDT,$34.57,"$503,359.78","$737,838.78","$72,666,015",2.65%,High,396,Recently,DOT,USDT
107,KuCoin,DOT/USDT,$34.55,"$978,174.63","$1,035,254.69","$57,222,507",2.09%,High,493,Recently,DOT,USDT
108,Kraken,DOT/USD,$34.58,"$3,478,708.08","$2,946,949.57","$53,126,474",1.94%,High,569,Recently,DOT,USD
109,Bithumb,DOT/KRW,$35.17,"$618,892.51","$758,753.75","$50,549,750",1.84%,High,215,Recently,DOT,KRW
110,Kraken,DOT/EUR,$34.54,"$1,744,139.37","$1,072,554.66","$19,970,912",0.73%,High,508,Recently,DOT,EUR
111,Bitfinex,DOT/USD,$34.58,"$786,568.99","$6,188,264.23","$19,253,611",0.70%,High,351,Recently,DOT,USD
112,Binance,DOT/BNB,$34.61,"$113,433.61","$166,143.77","$16,183,245",0.59%,High,754,Recently,DOT,BNB
113,Huobi Global,DOT/BTC,$34.55,"$372,110.93","$405,872.33","$15,810,555",0.58%,Moderate,359,Recently,DOT,BTC
114,Binance,USDC/USDT,$1.00,"$33,912,931.66","$9,654,717.91","$199,687,097",6.33%,High,983,Recently,USDC,USDT
115,Binance,BTC/USDC,$1,"$2,942,350.36","$1,714,302.51","$83,633,683",2.65%,High,656,Recently,BTC,USDC
116,Binance,USDC/BUSD,$1,"$5,795,698.50","$5,151,305.43","$67,866,566",2.15%,High,984,Recently,USDC,BUSD
117,Binance,ETH/USDC,$1,"$1,671,912.63","$1,208,167.94","$45,849,966",1.45%,High,508,Recently,ETH,USDC
118,Uniswap (V2),USDC/WETH,$0.9985,-,-,"$40,198,255",1.27%,High,916,Recently,USDC,WETH
119,Coinbase Exchange,USDC/EUR,$0.997,"$1,762,362.21","$626,598.36","$37,631,285",1.19%,High,272,Recently,USDC,EUR
120,Uniswap (V2),RAD/USDC,$0.9999,-,-,"$32,376,960",1.03%,High,-,Recently,RAD,USDC
121,Coinbase Exchange,BTC/USDC,$1,"$2,037,882.61","$1,859,489.57","$31,532,443",1.00%,High,632,Recently,BTC,USDC
122,Coinbase Exchange,ETH/USDC,$1,"$2,452,428.87","$2,750,949.15","$26,475,428",0.84%,High,506,Recently,ETH,USDC
123,Kraken,USDC/USD,$1.00,"$19,727,584.00","$3,456,481.56","$22,714,392",0.72%,High,900,Recently,USDC,USD
124,Coinbase Exchange,USDT/USDC,$0.9999,"$472,972.10","$626,999.09","$12,914,106",0.41%,High,845,Recently,USDT,USDC
125,Kraken,USDC/EUR,$0.9987,"$1,297,166.66","$1,031,438.70","$12,109,947",0.38%,High,678,Recently,USDC,EUR
126,Binance,DOGE/USDT,$0.2456,"$1,913,468.59","$1,884,035.24","$560,586,223",17.74%,High,668,Recently,DOGE,USDT
127,Coinbase Exchange,DOGE/USD,$0.2463,"$2,289,991.98","$1,786,695.88","$157,204,018",4.97%,High,378,Recently,DOGE,USD
128,Huobi Global,DOGE/USDT,$0.2455,"$1,224,932.85","$4,596,030.53","$154,349,511",4.88%,Low,465,Recently,DOGE,USDT
129,FTX,DOGE/USD,$0.2456,"$954,586.22","$1,116,945.83","$134,298,576",4.25%,Moderate,533,Recently,DOGE,USD
130,FTX,DOGE/USDT,$0.2456,"$1,021,126.66","$1,082,091.53","$84,954,101",2.69%,Moderate,392,Recently,DOGE,USDT
131,Binance,DOGE/BUSD,$0.2454,"$551,011.43","$494,077.38","$75,372,131",2.38%,High,651,Recently,DOGE,BUSD
132,Gate.io,DOGE/USDT,$0.2456,"$449,969.76","$949,450.38","$74,969,412",2.37%,High,447,Recently,DOGE,USDT
133,Bithumb,DOGE/KRW,$0.2502,"$651,812.58","$267,605.91","$63,245,266",2.00%,High,258,Recently,DOGE,KRW
134,Binance,DOGE/BTC,$0.2456,"$1,068,886.67","$1,111,285.46","$61,186,766",1.94%,High,561,Recently,DOGE,BTC
135,Binance,DOGE/TRY,$0.2447,"$332,853.73","$246,669.22","$60,463,327",1.91%,High,807,Recently,DOGE,TRY
136,Binance.US,DOGE/USD,$0.2455,"$845,636.99","$588,957.62","$49,838,597",1.58%,High,838,Recently,DOGE,USD
137,FTX US,DOGE/USDT,$0.2455,"$592,461.83","$706,021.42","$43,482,780",1.38%,Low,267,Recently,DOGE,USDT
138,KuCoin,DOGE/USDT,$0.2456,"$1,597,687.55","$715,083.74","$42,808,458",1.35%,High,445,Recently,DOGE,USDT
139,FTX US,DOGE/USD,$0.2463,"$724,517.13","$646,970.10","$40,764,520",1.29%,Moderate,261,Recently,DOGE,USD
140,Binance,LUNA/USDT,$46.26,"$604,542.55","$1,889,212.59","$315,005,397",19.26%,High,715,Recently,LUNA,USDT
141,KuCoin,LUNA/USDT,$46.24,"$5,508,119.93","$3,814,136.74","$185,509,851",11.34%,Moderate,401,Recently,LUNA,USDT
142,Huobi Global,LUNA/USDT,$46.25,"$640,603.25","$223,228.23","$123,286,888",7.54%,Low,331,Recently,LUNA,USDT
143,Gate.io,LUNA/USDT,$46.27,"$534,351.91","$539,761.69","$82,963,581",5.07%,Moderate,291,Recently,LUNA,USDT
144,Binance,LUNA/BUSD,$46.20,"$644,058.83","$735,722.77","$82,286,437",5.03%,High,610,Recently,LUNA,BUSD
145,Binance,LUNA/BTC,$46.22,"$242,013.27","$791,815.39","$73,918,640",4.52%,High,948,Recently,LUNA,BTC
146,Bitfinex,LUNA/USD,$46.26,-,-,"$72,943,834",4.46%,,-,Recently,LUNA,USD
147,Bitfinex,LUNA/UST,$46.35,-,-,"$45,770,442",2.80%,,-,Recently,LUNA,UST
148,Huobi Global,LUNA/BTC,$46.24,"$670,932.63","$177,695.93","$38,667,129",2.36%,Low,309,Recently,LUNA,BTC
149,Binance,LUNA/EUR,$45.86,"$179,773.41","$268,775.50","$24,774,138",1.51%,High,655,Recently,LUNA,EUR
150,KuCoin,LUNA/BTC,$46.23,"$1,433,665.29","$246,964.65","$24,202,292",1.48%,High,235,Recently,LUNA,BTC
151,Huobi Global,LUNA/HT,$46.33,"$52,478.76","$65,332.87","$22,378,299",1.37%,Low,176,Recently,LUNA,HT
152,Binance,UNI/USDT,$25.88,"$676,540.92","$671,765.87","$55,958,492",13.28%,High,571,Recently,UNI,USDT
153,Huobi Global,UNI/USDT,$25.87,"$848,344.74","$560,771.24","$39,918,228",9.47%,Low,480,Recently,UNI,USDT
154,Bithumb,UNI/KRW,$26.35,"$360,643.01","$482,910.85","$28,945,241",6.87%,High,221,Recently,UNI,KRW
155,Coinbase Exchange,UNI/USD,$25.87,"$913,625.88","$952,303.09","$25,626,005",6.08%,High,467,Recently,UNI,USD
156,Binance,UNI/BTC,$25.84,"$237,704.48","$320,747.58","$9,598,097",2.28%,High,689,Recently,UNI,BTC
157,Gate.io,UNI/USDT,$25.87,"$660,419.53","$712,600.59","$8,859,676",2.10%,High,371,Recently,UNI,USDT
158,FTX,UNI/USD,$25.88,"$539,174.03","$363,288.84","$6,313,650",1.50%,High,412,Recently,UNI,USD
159,Binance,UNI/BUSD,$25.88,"$291,136.88","$256,184.77","$5,981,045",1.42%,High,764,Recently,UNI,BUSD
160,Binance.US,UNI/USD,$25.85,"$581,136.01","$318,766.45","$5,310,596",1.26%,High,872,Recently,UNI,USD
161,Coinbase Exchange,UNI/BTC,$25.97,"$411,266.06","$490,909.76","$4,787,840",1.14%,High,424,Recently,UNI,BTC
162,KuCoin,UNI/USDT,$25.88,"$578,355.09","$783,733.80","$2,982,362",0.71%,High,285,Recently,UNI,USDT
163,Binance.US,UNI/USDT,$25.90,"$305,145.97","$277,447.93","$2,965,757",0.70%,High,706,Recently,UNI,USDT
164,Binance,UNI/BNB,$25.86,"$60,953.57","$125,270.07","$2,924,310",0.69%,High,603,Recently,UNI,BNB
165,Bitfinex,UNI/USD,$25.88,"$983,980.77","$1,777,044.50","$2,860,395",0.68%,High,289,Recently,UNI,USD
166,FTX,UNI/USDT,$25.86,"$289,902.75","$308,554.33","$2,770,184",0.66%,High,304,Recently,UNI,USDT
167,Binance,AVAX/USDT,$61.49,"$1,551,112.54","$1,015,686.87","$291,040,833",32.74%,High,507,Recently,AVAX,USDT
168,Binance,AVAX/TRY,$61.28,"$465,869.11","$209,208.59","$53,142,668",5.98%,High,646,Recently,AVAX,TRY
169,Binance,AVAX/BTC,$61.40,"$468,943.43","$606,895.15","$44,896,178",5.05%,High,854,Recently,AVAX,BTC
170,Binance,AVAX/BUSD,$61.51,"$375,441.84","$269,882.62","$44,654,931",5.02%,High,568,Recently,AVAX,BUSD
171,Gate.io,AVAX/USDT,$61.50,"$390,769.00","$686,048.24","$35,232,717",3.96%,High,397,Recently,AVAX,USDT
172,Coinbase Exchange,AVAX/USD,$61.60,"$670,629.04","$531,428.86","$25,667,416",2.89%,High,322,Recently,AVAX,USD
173,Huobi Global,AVAX/USDT,$61.50,"$393,427.34","$338,363.25","$25,058,667",2.82%,Low,347,Recently,AVAX,USDT
174,KuCoin,AVAX/USDT,$61.54,"$555,911.97","$389,738.66","$18,872,839",2.12%,High,290,Recently,AVAX,USDT
175,Bitfinex,AVAX/USD,$61.50,-,-,"$3,343,955",0.38%,,-,Recently,AVAX,USD
176,Binance,AVAX/EUR,$60.89,"$99,002.55","$70,730.86","$3,106,721",0.35%,High,904,Recently,AVAX,EUR
177,KuCoin,AVAX/BTC,$61.36,"$72,727.71","$103,625.89","$2,171,887",0.24%,High,201,Recently,AVAX,BTC
178,Bitfinex,AVAX/UST,$61.49,-,-,"$1,717,028",0.19%,,-,Recently,AVAX,UST
179,Binance,AVAX/BNB,$61.56,"$24,188.99","$44,850.78","$1,632,986",0.18%,High,714,Recently,AVAX,BNB
180,Coinbase Exchange,AVAX/EUR,$61.20,"$80,132.15","$93,870.35","$1,064,686",0.12%,High,180,Recently,AVAX,EUR
181,Binance,SHIB/BUSD,$1.00,"$368,044.41","$586,079.85","$1,263,671,990",15.58%,High,908,Recently,SHIB,BUSD
182,Binance,BUSD/USDT,$0.9999,"$54,701,072.49","$60,214,997.19","$1,195,848,367",14.74%,High,979,Recently,BUSD,USDT
183,Binance,BTC/BUSD,$1.00,"$9,948,903.21","$6,849,695.82","$695,501,017",8.58%,High,860,Recently,BTC,BUSD
184,Binance,ETH/BUSD,$1.00,"$8,016,641.03","$4,806,287.39","$602,339,261",7.43%,High,815,Recently,ETH,BUSD
185,Binance,BTCST/BUSD,$1.00,"$359,756.63","$64,273.36","$511,974,232",6.31%,High,704,Recently,BTCST,BUSD
186,Binance,BNB/BUSD,$1.00,"$3,394,128.48","$1,338,122.78","$152,704,020",1.88%,High,542,Recently,BNB,BUSD
187,Binance,FTM/BUSD,$0.9997,"$362,014.27","$235,429.66","$139,908,543",1.73%,High,871,Recently,FTM,BUSD
188,Binance,SOL/BUSD,$1.00,"$1,376,483.09","$999,192.61","$132,192,656",1.63%,High,886,Recently,SOL,BUSD
189,Binance,RAD/BUSD,$1.00,"$95,112.72","$136,355.35","$125,120,299",1.54%,High,796,Recently,RAD,BUSD
190,Binance,ADA/BUSD,$1.00,"$1,628,334.23","$1,399,038.35","$120,726,289",1.49%,High,629,Recently,ADA,BUSD
191,Binance.US,SHIB/BUSD,$1.00,"$78,858.82","$106,632.63","$88,563,657",1.09%,High,802,Recently,SHIB,BUSD
192,Binance,SLP/BUSD,$1.00,"$246,105.15","$185,734.20","$83,473,162",1.03%,High,885,Recently,SLP,BUSD
193,Binance,LUNA/BUSD,$0.9999,"$644,058.83","$735,722.77","$82,286,437",1.01%,High,891,Recently,LUNA,BUSD
194,Binance,DOT/BUSD,$1.00,"$747,947.27","$783,706.55","$80,412,381",0.99%,High,781,Recently,DOT,BUSD
195,Binance,DOGE/BUSD,$0.9999,"$558,677.26","$512,283.76","$75,269,969",0.93%,High,501,Recently,DOGE,BUSD
196,Binance,USDC/BUSD,$1.00,"$5,750,995.79","$5,927,301.86","$68,243,913",0.84%,High,981,Recently,USDC,BUSD
197,Binance,LINK/USDT,$27.30,"$1,479,518.58","$1,420,708.61","$167,812,270",14.06%,High,885,Recently,LINK,USDT
198,Coinbase Exchange,LINK/USD,$27.32,"$2,085,338.66","$2,858,770.92","$87,124,176",7.30%,High,519,Recently,LINK,USD
199,Huobi Global,LINK/USDT,$27.30,"$762,978.97","$716,976.45","$54,317,882",4.55%,Low,490,Recently,LINK,USDT
200,Binance,LINK/BTC,$27.28,"$601,084.69","$478,267.15","$30,362,427",2.54%,High,847,Recently,LINK,BTC
201,FTX,LINK/USD,$27.31,"$3,827,846.80","$4,081,705.35","$28,320,649",2.37%,High,545,Recently,LINK,USD
202,Binance,LINK/BUSD,$27.31,"$504,796.78","$549,834.41","$20,776,176",1.74%,High,840,Recently,LINK,BUSD
203,FTX,LINK/USDT,$27.31,"$2,774,138.56","$2,347,698.73","$20,147,622",1.69%,High,485,Recently,LINK,USDT
204,Gate.io,LINK/USDT,$27.32,"$659,783.17","$840,912.99","$19,832,793",1.66%,High,314,Recently,LINK,USDT
205,Kraken,LINK/USD,$27.37,"$1,765,420.21","$1,584,009.12","$11,713,208",0.98%,High,523,Recently,LINK,USD
206,KuCoin,LINK/USDT,$27.31,"$609,709.17","$754,067.66","$10,763,022",0.90%,High,352,Recently,LINK,USDT
207,Binance.US,LINK/USD,$27.30,"$627,139.19","$665,187.53","$10,677,916",0.89%,High,699,Recently,LINK,USD
